scenarioK_csi/antenna_00_features.csv.subcarrier_8_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_81_real,scenarioK_csi/antenna_00_features.csv.subcarrier_10_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_8_real,scenarioK_csi/antenna_32_features.csv.subcarrier_92_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_85_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_94_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_4_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_86_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_55_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_4_real,scenarioK_csi/antenna_32_features.csv.subcarrier_98_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_82_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_11_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_13_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_93_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_70_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_70_real,scenarioK_csi/antenna_36_features.csv.subcarrier_5_real,scenarioK_csi/antenna_16_features.csv.subcarrier_6_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_73_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_95_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_80_real,scenarioK_csi/antenna_36_features.csv.subcarrier_1_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_96_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_38_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_76_real,scenarioK_csi/antenna_24_features.csv.subcarrier_73_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_97_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_99_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_67_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_73_real,scenarioK_csi/antenna_08_features.csv.subcarrier_38_real,scenarioK_csi/antenna_12_features.csv.subcarrier_78_imaginary,scenarioK_csi/antenna_08_features.csv.subcarrier_37_real,scenarioK_csi/antenna_24_features.csv.subcarrier_68_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_71_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_46_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_99_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_90_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_2_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_6_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_13_real,scenarioK_csi/antenna_40_features.csv.subcarrier_74_real,scenarioK_csi/antenna_24_features.csv.subcarrier_3_real,scenarioK_csi/antenna_40_features.csv.subcarrier_76_real,scenarioK_csi/antenna_36_features.csv.subcarrier_9_real,scenarioK_csi/antenna_08_features.csv.subcarrier_39_real,scenarioK_csi/antenna_16_features.csv.subcarrier_2_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_0_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_86_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_89_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_72_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_87_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_91_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_67_real,scenarioK_csi/antenna_40_features.csv.subcarrier_97_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_1_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_69_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_1_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_3_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_11_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_35_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_2_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_78_real,scenarioK_csi/antenna_00_features.csv.subcarrier_21_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_94_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_74_real,scenarioK_csi/antenna_16_features.csv.subcarrier_54_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_63_real,scenarioK_csi/antenna_04_features.csv.subcarrier_75_real,scenarioK_csi/antenna_40_features.csv.subcarrier_99_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_92_imaginary,target_x,scenarioK_csi/antenna_08_features.csv.subcarrier_34_real,scenarioK_csi/antenna_32_features.csv.subcarrier_87_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_15_real,scenarioK_csi/antenna_08_features.csv.subcarrier_29_real,scenarioK_csi/antenna_12_features.csv.subcarrier_77_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_96_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_40_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_10_real,scenarioK_csi/antenna_36_features.csv.subcarrier_6_real,scenarioK_csi/antenna_16_features.csv.subcarrier_4_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_9_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_98_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_92_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_79_imaginary,scenarioK_csi/antenna_16_features.csv.subcarrier_57_imaginary,scenarioK_csi/samples_base.csv.sample_key,scenarioK_csi/antenna_08_features.csv.subcarrier_28_real,scenarioK_csi/antenna_28_features.csv.subcarrier_89_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_73_real,scenarioK_csi/antenna_24_features.csv.subcarrier_64_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_77_real,scenarioK_csi/antenna_16_features.csv.subcarrier_5_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_14_real,scenarioK_csi/antenna_08_features.csv.subcarrier_35_real,scenarioK_csi/antenna_28_features.csv.subcarrier_91_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_7_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_75_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_90_imaginary,scenarioK_csi/antenna_08_features.csv.subcarrier_32_real,scenarioK_csi/antenna_32_features.csv.subcarrier_97_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_88_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_20_imaginary,scenarioK_csi/antenna_32_features.csv.subcarrier_93_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_85_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_43_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_12_real,scenarioK_csi/antenna_12_features.csv.subcarrier_81_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_11_real,scenarioK_csi/antenna_24_features.csv.subcarrier_65_imaginary,scenarioK_csi/antenna_08_features.csv.subcarrier_27_real,scenarioK_csi/antenna_20_features.csv.subcarrier_36_imaginary,scenarioK_csi/antenna_36_features.csv.subcarrier_7_real,scenarioK_csi/antenna_40_features.csv.subcarrier_79_real,scenarioK_csi/antenna_12_features.csv.subcarrier_84_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_76_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_5_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_37_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_98_imaginary,scenarioK_csi/antenna_08_features.csv.subcarrier_30_real,scenarioK_csi/antenna_08_features.csv.subcarrier_33_real,scenarioK_csi/antenna_20_features.csv.subcarrier_42_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_1_real,scenarioK_csi/antenna_08_features.csv.subcarrier_42_real,scenarioK_csi/antenna_40_features.csv.subcarrier_95_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_66_imaginary,scenarioK_csi/antenna_00_features.csv.subcarrier_16_imaginary,scenarioK_csi/antenna_40_features.csv.subcarrier_93_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_83_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_94_imaginary,scenarioK_csi/antenna_12_features.csv.subcarrier_80_imaginary,scenarioK_csi/antenna_20_features.csv.subcarrier_41_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_95_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_71_real,scenarioK_csi/antenna_08_features.csv.subcarrier_40_real,scenarioK_csi/antenna_40_features.csv.subcarrier_96_imaginary,scenarioK_csi/antenna_28_features.csv.subcarrier_95_imaginary,scenarioK_csi/antenna_24_features.csv.subcarrier_2_real,scenarioK_csi/antenna_16_features.csv.subcarrier_56_imaginary,scenarioK_csi/antenna_08_features.csv.subcarrier_31_real,scenarioK_csi/antenna_00_features.csv.subcarrier_19_imaginary,scenarioK_csi/antenna_04_features.csv.subcarrier_69_real
-0.0234375,0.3203125,-0.02734375,-0.38671875,-0.375,0.2890625,-0.38671875,0.015625,0.35546875,0.1328125,-0.0546875,-0.41796875,0.2890625,-0.01171875,0.2109375,0.29296875,-0.48046875,-0.1484375,-0.41015625,-0.02734375,0.2890625,-0.3984375,0.32421875,0.5234375,0.26953125,-0.25390625,-0.15625,-0.5078125,0.2578125,0.2421875,-0.46875,0.46484375,-0.0390625,0.296875,-0.0546875,-0.46484375,-0.4765625,-0.25,-0.4296875,-0.34375,0.02734375,-0.01171875,-0.32421875,0.44921875,-0.05078125,0.41015625,-0.3828125,-0.04296875,-0.00390625,0.49609375,-0.2890625,-0.31640625,-0.48046875,0.36328125,-0.37109375,-0.12890625,1.09375,0.01171875,-0.4765625,0.0390625,0.01171875,0.19921875,-0.2578125,0.53515625,0.3828125,0.015625,0.17578125,-0.15625,0.12109375,-0.1328125,-0.1328125,1.09375,1.09375,-812,-0.0625,-0.31640625,-0.34375,-0.0703125,0.3046875,-0.44140625,-0.25390625,-0.359375,-0.38671875,-0.0234375,-0.0234375,0.265625,0.29296875,0.28125,0.13671875,user_0_sample_109,-0.0546875,0.34375,-0.1484375,-0.44921875,-0.1484375,-0.0390625,-0.34375,-0.0625,0.31640625,-0.02734375,0.29296875,0.34765625,-0.078125,-0.48046875,-0.3046875,-0.00390625,-0.4140625,0.3828125,-0.25,-0.34375,0.29296875,-0.359375,-0.44921875,-0.06640625,-0.2421875,-0.3984375,0.37109375,0.27734375,0.3046875,-0.00390625,-0.2578125,1.1328125,-0.06640625,-0.0625,-0.23046875,-0.0625,-0.05078125,1.09765625,-0.453125,-0.00390625,1.08203125,0.29296875,0.28125,0.29296875,-0.2578125,0.15625,-0.16015625,-0.03125,1.09375,0.25,-0.0625,0.1328125,-0.0625,0.00390625,-0.14453125
0.00390625,0.32421875,0.0,-0.31640625,-0.38671875,0.29296875,-0.3984375,0.02734375,0.38671875,0.12890625,-0.0625,-0.4375,0.3046875,0.00390625,0.2265625,0.30859375,-0.46875,-0.13671875,-0.3359375,-0.0546875,0.31640625,-0.4140625,0.34375,0.5234375,0.28125,-0.25,-0.1484375,-0.484375,0.26953125,0.25,-0.453125,0.4765625,0.0,0.30859375,-0.015625,-0.453125,-0.45703125,-0.23828125,-0.42578125,-0.359375,0.02734375,0.01171875,-0.29296875,0.4765625,-0.06640625,0.42578125,-0.31640625,-0.0234375,-0.03125,0.484375,-0.31640625,-0.32421875,-0.484375,0.375,-0.3984375,-0.14453125,1.0546875,-0.03125,-0.46484375,0.03125,0.02734375,0.21484375,-0.2890625,0.546875,0.375,0.02734375,0.15625,-0.1484375,0.1171875,-0.1171875,-0.1328125,1.078125,1.0390625,-812,-0.00390625,-0.35546875,-0.2890625,-0.0234375,0.3046875,-0.42578125,-0.265625,-0.29296875,-0.3359375,-0.05078125,-0.00390625,0.28125,0.31640625,0.30859375,0.12109375,user_0_sample_10,-0.0234375,0.34375,-0.15625,-0.42578125,-0.15625,-0.03125,-0.28125,-0.01171875,0.3359375,0.01171875,0.3203125,0.33203125,-0.015625,-0.44921875,-0.33203125,0.03125,-0.40234375,0.390625,-0.25,-0.2890625,0.3046875,-0.30859375,-0.4296875,-0.02734375,-0.25,-0.33203125,0.359375,0.29296875,0.31640625,0.01171875,-0.27734375,1.04296875,-0.015625,0.00390625,-0.265625,-0.0703125,0.0,1.0703125,-0.42578125,0.015625,1.03125,0.3046875,0.28125,0.31640625,-0.25,0.17578125,-0.1484375,0.0,1.04296875,0.2890625,-0.078125,0.12890625,-0.01171875,0.015625,-0.1484375
-0.015625,0.34375,-0.03125,-0.40234375,-0.359375,0.26953125,-0.375,0.0,0.375,0.13671875,-0.04296875,-0.4296875,0.2890625,-0.02734375,0.22265625,0.30859375,-0.484375,-0.15625,-0.41015625,-0.0234375,0.3046875,-0.40234375,0.36328125,0.51953125,0.2890625,-0.25390625,-0.15625,-0.48046875,0.265625,0.265625,-0.4765625,0.4765625,-0.05078125,0.2890625,-0.04296875,-0.484375,-0.4765625,-0.25390625,-0.41796875,-0.34375,0.01171875,0.0,-0.3359375,0.46484375,-0.06640625,0.44140625,-0.375,-0.0625,0.00390625,0.484375,-0.296875,-0.33203125,-0.49609375,0.375,-0.36328125,-0.12109375,1.08984375,-0.00390625,-0.4765625,0.03125,0.015625,0.2109375,-0.2578125,0.54296875,0.38671875,0.01171875,0.1875,-0.171875,0.1171875,-0.12109375,-0.1484375,1.125,1.08984375,-812,-0.0390625,-0.29296875,-0.33203125,-0.05078125,0.296875,-0.40234375,-0.25,-0.359375,-0.3984375,-0.03125,-0.015625,0.26953125,0.32421875,0.30859375,0.14453125,user_0_sample_110,-0.06640625,0.3359375,-0.1328125,-0.44140625,-0.1484375,-0.015625,-0.3359375,-0.04296875,0.32421875,-0.015625,0.29296875,0.34375,-0.06640625,-0.4375,-0.30859375,0.0,-0.3984375,0.40234375,-0.265625,-0.34765625,0.28125,-0.375,-0.4375,-0.06640625,-0.25390625,-0.3828125,0.375,0.29296875,0.28125,-0.00390625,-0.26953125,1.109375,-0.0625,-0.0625,-0.27734375,-0.05078125,-0.0390625,1.125,-0.46875,-0.00390625,1.06640625,0.296875,0.29296875,0.2890625,-0.265625,0.15625,-0.15625,-0.03125,1.09375,0.26953125,-0.0546875,0.1328125,-0.0546875,0.0,-0.14453125
-0.015625,0.33203125,-0.02734375,-0.3828125,-0.35546875,0.28125,-0.3828125,0.01171875,0.37109375,0.1484375,-0.06640625,-0.41796875,0.2890625,-0.00390625,0.22265625,0.30859375,-0.48046875,-0.16015625,-0.40234375,-0.0546875,0.30859375,-0.390625,0.3828125,0.50390625,0.27734375,-0.2890625,-0.13671875,-0.4921875,0.27734375,0.25390625,-0.44921875,0.45703125,-0.0390625,0.296875,-0.05078125,-0.46875,-0.50390625,-0.265625,-0.42578125,-0.34765625,0.015625,-0.01171875,-0.34375,0.4765625,-0.05078125,0.44140625,-0.36328125,-0.04296875,-0.015625,0.48046875,-0.28125,-0.33203125,-0.50390625,0.375,-0.36328125,-0.16015625,1.10546875,0.00390625,-0.46875,0.03125,0.0234375,0.21484375,-0.2890625,0.54296875,0.390625,0.00390625,0.18359375,-0.15625,0.12109375,-0.12109375,-0.1328125,1.12109375,1.09375,-812,-0.05078125,-0.3046875,-0.32421875,-0.0703125,0.296875,-0.4140625,-0.265625,-0.359375,-0.40234375,-0.04296875,-0.015625,0.2578125,0.30859375,0.29296875,0.12890625,user_0_sample_111,-0.0703125,0.34765625,-0.16015625,-0.44140625,-0.14453125,-0.015625,-0.31640625,-0.0625,0.31640625,-0.0234375,0.3046875,0.36328125,-0.0546875,-0.41796875,-0.3046875,-0.00390625,-0.3828125,0.3984375,-0.28125,-0.34375,0.29296875,-0.375,-0.44921875,-0.078125,-0.27734375,-0.3828125,0.3828125,0.26953125,0.3046875,-0.015625,-0.265625,1.09765625,-0.06640625,-0.05078125,-0.28125,-0.05078125,-0.0390625,1.10546875,-0.44140625,-0.015625,1.08984375,0.27734375,0.29296875,0.29296875,-0.26953125,0.18359375,-0.16015625,-0.0546875,1.08984375,0.28125,-0.0546875,0.14453125,-0.0546875,-0.015625,-0.14453125
-0.015625,0.34765625,-0.02734375,-0.38671875,-0.35546875,0.28125,-0.3828125,0.015625,0.3828125,0.12109375,-0.0546875,-0.4296875,0.26953125,-0.0234375,0.22265625,0.3203125,-0.4765625,-0.14453125,-0.3984375,-0.03125,0.30859375,-0.390625,0.37109375,0.53125,0.29296875,-0.27734375,-0.13671875,-0.49609375,0.2578125,0.26953125,-0.45703125,0.49609375,-0.02734375,0.29296875,-0.0546875,-0.46875,-0.48046875,-0.26953125,-0.41796875,-0.34375,0.0234375,-0.0234375,-0.3359375,0.46875,-0.0390625,0.46875,-0.3828125,-0.0390625,-0.00390625,0.515625,-0.28125,-0.31640625,-0.5078125,0.38671875,-0.37109375,-0.14453125,1.09375,0.01171875,-0.48046875,0.015625,0.00390625,0.2109375,-0.26953125,0.55859375,0.41796875,0.0,0.1875,-0.1484375,0.109375,-0.13671875,-0.14453125,1.1171875,1.078125,-812,-0.0390625,-0.3203125,-0.33203125,-0.0546875,0.296875,-0.4140625,-0.265625,-0.359375,-0.390625,-0.0234375,-0.0234375,0.28125,0.32421875,0.3046875,0.13671875,user_0_sample_112,-0.05078125,0.3359375,-0.1484375,-0.453125,-0.1484375,-0.00390625,-0.3359375,-0.0546875,0.34375,-0.0234375,0.30859375,0.34765625,-0.06640625,-0.4296875,-0.30859375,-0.00390625,-0.38671875,0.390625,-0.26953125,-0.3359375,0.29296875,-0.375,-0.453125,-0.0625,-0.27734375,-0.375,0.3984375,0.28125,0.29296875,-0.01171875,-0.3046875,1.109375,-0.0625,-0.05078125,-0.29296875,-0.05078125,-0.0234375,1.08984375,-0.46484375,-0.00390625,1.06640625,0.2890625,0.29296875,0.3046875,-0.28125,0.17578125,-0.16015625,-0.04296875,1.09375,0.2890625,-0.05078125,0.12109375,-0.0546875,-0.01171875,-0.13671875
-0.01171875,0.3359375,-0.03125,-0.375,-0.38671875,0.296875,-0.4140625,0.01171875,0.37109375,0.109375,-0.0625,-0.4375,0.27734375,-0.015625,0.2265625,0.30859375,-0.4765625,-0.16015625,-0.41796875,-0.0234375,0.296875,-0.40234375,0.36328125,0.53125,0.265625,-0.25390625,-0.1484375,-0.4765625,0.2578125,0.25,-0.453125,0.46484375,-0.0390625,0.29296875,-0.0390625,-0.48046875,-0.484375,-0.23828125,-0.4375,-0.34765625,0.00390625,0.0,-0.3359375,0.48046875,-0.0625,0.4296875,-0.38671875,-0.02734375,0.015625,0.4921875,-0.29296875,-0.33203125,-0.4921875,0.390625,-0.375,-0.16015625,1.10546875,-0.00390625,-0.46875,0.02734375,0.01171875,0.2109375,-0.26953125,0.5625,0.3828125,0.00390625,0.17578125,-0.15625,0.10546875,-0.12890625,-0.13671875,1.1171875,1.09375,-812,-0.0625,-0.32421875,-0.32421875,-0.06640625,0.3046875,-0.4375,-0.26953125,-0.34375,-0.38671875,-0.03125,-0.0234375,0.28125,0.31640625,0.30859375,0.12109375,user_0_sample_113,-0.06640625,0.3359375,-0.13671875,-0.44140625,-0.171875,0.00390625,-0.32421875,-0.0546875,0.3359375,-0.0234375,0.29296875,0.34765625,-0.05078125,-0.453125,-0.3203125,0.0,-0.41015625,0.3984375,-0.25390625,-0.34375,0.3046875,-0.375,-0.44921875,-0.06640625,-0.2578125,-0.3828125,0.36328125,0.28125,0.29296875,0.0,-0.265625,1.10546875,-0.05078125,-0.05078125,-0.25390625,-0.0625,-0.04296875,1.10546875,-0.44921875,-0.01171875,1.08203125,0.29296875,0.296875,0.2890625,-0.25390625,0.1875,-0.16015625,-0.0390625,1.08984375,0.265625,-0.04296875,0.12109375,-0.0546875,-0.00390625,-0.16015625
-0.03125,0.34375,-0.0234375,-0.375,-0.34765625,0.29296875,-0.37109375,-0.00390625,0.359375,0.14453125,-0.04296875,-0.4296875,0.29296875,-0.01171875,0.23828125,0.296875,-0.484375,-0.1484375,-0.4140625,-0.03125,0.2890625,-0.41015625,0.359375,0.51953125,0.26953125,-0.265625,-0.14453125,-0.49609375,0.2578125,0.25,-0.45703125,0.46875,-0.04296875,0.2890625,-0.03125,-0.46484375,-0.484375,-0.2421875,-0.4140625,-0.3359375,0.015625,-0.015625,-0.35546875,0.4765625,-0.05078125,0.4375,-0.37109375,-0.0546875,-0.00390625,0.48046875,-0.28125,-0.32421875,-0.4921875,0.375,-0.36328125,-0.1484375,1.09375,0.0,-0.48046875,0.03125,0.01171875,0.21484375,-0.2890625,0.53515625,0.40234375,0.00390625,0.17578125,-0.15625,0.12890625,-0.13671875,-0.12109375,1.1171875,1.078125,-812,-0.05078125,-0.3046875,-0.32421875,-0.0546875,0.3046875,-0.41796875,-0.25390625,-0.35546875,-0.41015625,-0.02734375,-0.00390625,0.265625,0.3046875,0.296875,0.1171875,user_0_sample_114,-0.0625,0.33203125,-0.15625,-0.4375,-0.1640625,-0.015625,-0.32421875,-0.0390625,0.33203125,-0.015625,0.296875,0.34375,-0.0546875,-0.4375,-0.3046875,0.00390625,-0.38671875,0.3984375,-0.2578125,-0.33203125,0.3046875,-0.359375,-0.44140625,-0.0625,-0.26953125,-0.40234375,0.390625,0.27734375,0.2890625,-0.015625,-0.265625,1.109375,-0.06640625,-0.0546875,-0.265625,-0.0546875,-0.0390625,1.078125,-0.45703125,-0.015625,1.08203125,0.27734375,0.2890625,0.2890625,-0.2578125,0.1875,-0.171875,-0.04296875,1.109375,0.26953125,-0.0546875,0.13671875,-0.0625,-0.01171875,-0.14453125
-0.0234375,0.33203125,-0.0234375,-0.38671875,-0.359375,0.29296875,-0.38671875,0.00390625,0.37109375,0.1328125,-0.05078125,-0.4140625,0.2890625,0.0,0.22265625,0.3046875,-0.4921875,-0.16015625,-0.41796875,-0.0234375,0.2890625,-0.40234375,0.34375,0.51953125,0.27734375,-0.28125,-0.15625,-0.4921875,0.2578125,0.23828125,-0.46484375,0.44921875,-0.0546875,0.26953125,-0.0546875,-0.46484375,-0.4765625,-0.23828125,-0.4375,-0.3359375,0.015625,-0.015625,-0.35546875,0.46484375,-0.05078125,0.41796875,-0.38671875,-0.0390625,-0.00390625,0.4765625,-0.27734375,-0.30859375,-0.49609375,0.3828125,-0.34765625,-0.14453125,1.09375,0.0,-0.46484375,0.03125,0.00390625,0.21484375,-0.2578125,0.53515625,0.37109375,0.0,0.18359375,-0.1484375,0.1171875,-0.12109375,-0.1484375,1.12109375,1.09765625,-812,-0.0625,-0.3046875,-0.34765625,-0.06640625,0.3046875,-0.4296875,-0.25390625,-0.37109375,-0.41015625,-0.01171875,-0.0234375,0.26953125,0.30859375,0.296875,0.1171875,user_0_sample_115,-0.078125,0.3359375,-0.16015625,-0.4296875,-0.16015625,-0.015625,-0.35546875,-0.04296875,0.31640625,-0.00390625,0.29296875,0.34375,-0.0703125,-0.44140625,-0.30859375,-0.01171875,-0.390625,0.37109375,-0.23828125,-0.36328125,0.2890625,-0.37109375,-0.4296875,-0.0546875,-0.27734375,-0.41015625,0.36328125,0.27734375,0.29296875,-0.015625,-0.25390625,1.12109375,-0.0703125,-0.0625,-0.26953125,-0.04296875,-0.04296875,1.10546875,-0.453125,0.0,1.09375,0.2890625,0.27734375,0.29296875,-0.265625,0.171875,-0.13671875,-0.0390625,1.109375,0.26953125,-0.0625,0.13671875,-0.078125,-0.01171875,-0.1484375
-0.01171875,0.35546875,-0.02734375,-0.390625,-0.37109375,0.28125,-0.3984375,0.00390625,0.359375,0.1171875,-0.03125,-0.44921875,0.27734375,-0.02734375,0.22265625,0.3046875,-0.48046875,-0.15625,-0.41796875,-0.015625,0.3046875,-0.390625,0.3359375,0.49609375,0.29296875,-0.23828125,-0.15625,-0.4921875,0.26953125,0.2421875,-0.46484375,0.46484375,-0.0625,0.28125,-0.04296875,-0.45703125,-0.484375,-0.23828125,-0.42578125,-0.34765625,0.01171875,-0.0234375,-0.359375,0.46875,-0.04296875,0.4375,-0.390625,-0.05078125,0.00390625,0.48046875,-0.26953125,-0.30859375,-0.49609375,0.35546875,-0.3359375,-0.15625,1.09375,0.00390625,-0.46875,0.015625,0.00390625,0.21484375,-0.23828125,0.54296875,0.390625,0.01171875,0.1875,-0.14453125,0.12109375,-0.14453125,-0.1484375,1.125,1.109375,-812,-0.06640625,-0.3203125,-0.34375,-0.08203125,0.296875,-0.41796875,-0.23828125,-0.37109375,-0.4140625,-0.0234375,-0.02734375,0.28125,0.3203125,0.2890625,0.12890625,user_0_sample_116,-0.08203125,0.3359375,-0.13671875,-0.4296875,-0.13671875,-0.015625,-0.37109375,-0.04296875,0.3203125,-0.0234375,0.296875,0.34375,-0.05078125,-0.4296875,-0.29296875,0.01171875,-0.3984375,0.3828125,-0.23828125,-0.375,0.2890625,-0.37109375,-0.44140625,-0.05078125,-0.23828125,-0.40234375,0.3828125,0.2578125,0.29296875,-0.01171875,-0.2421875,1.109375,-0.06640625,-0.05078125,-0.23046875,-0.04296875,-0.05078125,1.12109375,-0.45703125,-0.01171875,1.09765625,0.28125,0.30859375,0.28125,-0.2421875,0.1875,-0.16015625,-0.04296875,1.10546875,0.2890625,-0.04296875,0.12109375,-0.078125,-0.00390625,-0.14453125
-0.01171875,0.33203125,-0.0234375,-0.4140625,-0.35546875,0.28125,-0.34765625,0.0234375,0.37109375,0.1171875,-0.05078125,-0.42578125,0.28125,-0.0234375,0.22265625,0.29296875,-0.49609375,-0.12890625,-0.4296875,-0.015625,0.29296875,-0.375,0.37109375,0.50390625,0.2890625,-0.26953125,-0.14453125,-0.49609375,0.26953125,0.25,-0.45703125,0.46875,-0.0625,0.28125,-0.0625,-0.453125,-0.46484375,-0.25,-0.4140625,-0.33203125,0.0234375,-0.0234375,-0.36328125,0.4765625,-0.04296875,0.44140625,-0.4140625,-0.0625,0.00390625,0.46875,-0.3046875,-0.30859375,-0.515625,0.37109375,-0.359375,-0.13671875,1.10546875,0.00390625,-0.45703125,0.0234375,0.00390625,0.2109375,-0.26953125,0.51953125,0.390625,0.00390625,0.1640625,-0.1328125,0.09765625,-0.13671875,-0.13671875,1.125,1.09375,-812,-0.05078125,-0.3046875,-0.359375,-0.0625,0.296875,-0.41015625,-0.2578125,-0.375,-0.4296875,-0.01171875,-0.00390625,0.2890625,0.3046875,0.3046875,0.12109375,user_0_sample_117,-0.06640625,0.32421875,-0.1640625,-0.4375,-0.13671875,-0.01171875,-0.375,-0.0625,0.32421875,-0.0234375,0.2890625,0.34375,-0.0625,-0.40234375,-0.30859375,-0.01171875,-0.3828125,0.375,-0.265625,-0.37109375,0.29296875,-0.40234375,-0.44140625,-0.08203125,-0.2578125,-0.4375,0.375,0.27734375,0.2890625,-0.0234375,-0.25,1.1171875,-0.0703125,-0.0625,-0.2578125,-0.0546875,-0.05078125,1.125,-0.453125,0.0,1.08203125,0.28125,0.2890625,0.28125,-0.2578125,0.171875,-0.1484375,-0.05078125,1.08984375,0.27734375,-0.05078125,0.13671875,-0.08203125,-0.00390625,-0.1328125
